epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4001,1.4729,3.45714,1.06127,0.00856,0.96104,0.06928,0.02788,0.92247,3.55185,0.87378,0.00020004,0.00020004,0.00020004
2,151.322,1.14261,1.62633,0.95796,0.00849,0.94156,0.35812,0.25166,0.95232,3.11032,0.89431,0.000408498,0.000408498,0.000408498
3,224.207,1.12629,1.26976,0.97335,0.00951,0.98701,0.94938,0.67599,0.97139,2.86298,0.91164,0.000608375,0.000608375,0.000608375
4,299.695,1.10059,1.01224,0.95905,0.00887,0.99351,0.55778,0.39285,0.92983,3.27038,0.90879,0.00079967,0.00079967,0.00079967
5,374.737,1.02476,0.99492,0.95445,0.99962,0.87546,0.99405,0.72045,1.00307,2.18549,0.92362,0.000982383,0.000982383,0.000982383
6,450.34,1.01468,0.94833,0.92491,1,0.89615,0.9901,0.66531,1.00891,1.90629,0.96469,0.00115651,0.00115651,0.00115651
7,525.592,1.02259,0.88014,0.93962,1,0.96843,0.9944,0.66779,1.11639,1.64829,1.02069,0.00132206,0.00132206,0.00132206
8,600.77,1.03568,0.88965,0.94806,0.99835,0.96054,0.99365,0.58531,1.23841,1.11606,1.06199,0.00143595,0.00143595,0.00143595
9,675.928,0.99909,0.76569,0.94724,0.99146,0.98214,0.99397,0.73293,0.9682,1.05583,0.97107,0.00140295,0.00140295,0.00140295
10,13479.6,0.95418,0.77283,0.90679,1,0.9961,0.995,0.76377,0.90519,1.11154,0.93696,0.00136994,0.00136994,0.00136994
11,13555.8,0.96249,0.77235,0.91747,0.99737,0.99351,0.99494,0.73568,0.93521,0.74677,0.95949,0.00133693,0.00133693,0.00133693
12,13628.8,0.95414,0.69775,0.91037,0.9763,0.99351,0.99481,0.76061,0.89357,0.87188,0.93979,0.00130393,0.00130393,0.00130393
13,13704.6,0.92194,0.68038,0.89724,0.98697,0.97777,0.99368,0.7507,0.89262,0.72212,0.93737,0.00127092,0.00127092,0.00127092
14,13776.9,0.91057,0.74203,0.91089,0.99921,0.99641,0.995,0.77921,0.85013,0.69185,0.9346,0.00123791,0.00123791,0.00123791
15,13851.3,0.89702,0.66613,0.90151,0.9977,1,0.995,0.73158,0.98148,0.66805,0.98583,0.00120491,0.00120491,0.00120491
16,13924.2,0.91556,0.65203,0.91,0.95532,0.98626,0.995,0.75228,0.90762,0.71982,0.95732,0.0011719,0.0011719,0.0011719
17,13996.6,0.94908,0.64805,0.92778,0.99807,1,0.995,0.74596,0.92918,0.65168,0.95809,0.00113889,0.00113889,0.00113889
18,14069,0.95137,0.66562,0.91369,0.99853,0.99996,0.995,0.77408,0.88027,0.66637,0.94137,0.00110589,0.00110589,0.00110589
19,14145.5,0.95456,0.61471,0.90931,0.99785,1,0.995,0.7615,0.91811,0.60107,0.96661,0.00107288,0.00107288,0.00107288
20,14220.2,0.89606,0.6146,0.90954,0.99501,1,0.995,0.70749,1.04621,0.71478,1.00354,0.00103987,0.00103987,0.00103987
21,14294.9,0.91387,0.58849,0.91524,0.9991,1,0.995,0.77065,0.88391,0.57917,0.94274,0.00100687,0.00100687,0.00100687
22,14371.3,0.87995,0.5651,0.89711,0.99852,1,0.995,0.77972,0.83786,0.59156,0.9364,0.000973861,0.000973861,0.000973861
23,14446.6,0.86258,0.54918,0.90568,0.99634,1,0.995,0.77928,0.86235,0.58599,0.9323,0.000940855,0.000940855,0.000940855
24,14518.4,0.91533,0.55606,0.91924,0.99686,1,0.995,0.76446,0.87656,0.55626,0.9423,0.000907848,0.000907848,0.000907848
25,14590.4,0.89504,0.54389,0.91152,0.99679,1,0.995,0.77109,0.84346,0.5443,0.92946,0.000874842,0.000874842,0.000874842
26,14667.8,0.86586,0.53376,0.89791,0.99761,1,0.995,0.77697,0.83691,0.51677,0.9236,0.000841835,0.000841835,0.000841835
27,14742.6,0.85334,0.52046,0.89726,0.99708,1,0.995,0.77314,0.86043,0.53751,0.9397,0.000808828,0.000808828,0.000808828
28,14816.2,0.88753,0.55705,0.91679,0.99828,1,0.995,0.77382,0.86284,0.56447,0.93933,0.000775822,0.000775822,0.000775822
29,14890.7,0.90065,0.54379,0.89513,0.99583,1,0.995,0.78648,0.82738,0.52834,0.92824,0.000742815,0.000742815,0.000742815
30,14970.6,0.84768,0.49875,0.90199,0.99773,1,0.995,0.77265,0.84363,0.4967,0.93228,0.000709809,0.000709809,0.000709809
31,15046.2,0.85864,0.5032,0.88649,0.99709,1,0.995,0.78188,0.8312,0.50487,0.92572,0.000676802,0.000676802,0.000676802
32,15124.7,0.85172,0.48489,0.89553,0.99782,1,0.995,0.77643,0.82799,0.47495,0.92558,0.000643795,0.000643795,0.000643795
33,15201.6,0.84428,0.48293,0.88185,0.99741,1,0.995,0.77503,0.82729,0.48172,0.92317,0.000610789,0.000610789,0.000610789
34,15275.7,0.83604,0.48098,0.87464,0.99773,1,0.995,0.761,0.91569,0.49749,0.95263,0.000577782,0.000577782,0.000577782
35,15345.1,0.82556,0.48577,0.88389,0.99729,1,0.995,0.78341,0.82259,0.45696,0.92576,0.000544776,0.000544776,0.000544776
36,15415.9,0.82085,0.4662,0.88217,0.99863,1,0.995,0.756,0.88534,0.46129,0.94544,0.000511769,0.000511769,0.000511769
37,15486,0.82573,0.46298,0.88795,0.99764,1,0.995,0.80509,0.7865,0.45187,0.90892,0.000478762,0.000478762,0.000478762
38,15557.7,0.79388,0.46483,0.87429,0.99684,1,0.995,0.7995,0.79818,0.45848,0.9139,0.000445756,0.000445756,0.000445756
39,15627.2,0.79847,0.44735,0.88576,0.9971,1,0.995,0.79692,0.8044,0.4376,0.91797,0.000412749,0.000412749,0.000412749
40,15697.3,0.83002,0.46374,0.87294,0.99609,1,0.995,0.79405,0.79583,0.44478,0.91513,0.000379743,0.000379743,0.000379743
41,15766,0.78506,0.47782,0.90012,0.99713,1,0.995,0.78872,0.80841,0.45772,0.91946,0.000346736,0.000346736,0.000346736
42,15834.6,0.78129,0.44953,0.89549,0.99833,1,0.995,0.79206,0.79533,0.43246,0.91699,0.000313729,0.000313729,0.000313729
43,16833.2,0.77614,0.44949,0.88604,0.99829,1,0.995,0.78508,0.81128,0.42889,0.9254,0.000280723,0.000280723,0.000280723
44,16902.8,0.76362,0.44438,0.89674,0.99813,1,0.995,0.78635,0.8006,0.43056,0.91581,0.000247716,0.000247716,0.000247716
45,16977.1,0.75899,0.43211,0.89845,0.99828,1,0.995,0.79585,0.7896,0.41897,0.91222,0.00021471,0.00021471,0.00021471
46,17049.4,0.77469,0.44276,0.89711,0.99832,1,0.995,0.78856,0.80318,0.42201,0.91997,0.000181703,0.000181703,0.000181703
47,17123.1,0.76635,0.42678,0.88681,0.99815,1,0.995,0.79606,0.78,0.422,0.91118,0.000148696,0.000148696,0.000148696
48,17197.3,0.76603,0.42564,0.90506,0.99781,1,0.995,0.78535,0.81454,0.41272,0.91998,0.00011569,0.00011569,0.00011569
49,17272.7,0.75376,0.41787,0.87189,0.99798,1,0.995,0.79692,0.78444,0.40221,0.91016,8.26832e-05,8.26832e-05,8.26832e-05
50,17342,0.75663,0.40814,0.89377,0.99818,1,0.995,0.80361,0.76908,0.39614,0.9058,4.96766e-05,4.96766e-05,4.96766e-05
